13-4,13-4,9-31,9-31,A/B,A/B,58-52,58-52,67-63,67-63,D/E,D/E
987,-56,192,488,5.140625,-0.11475409836065574,-122,104,-111,-5,1.0990990990990992,-20.8
715,-97,187,305,3.823529411764706,-0.3180327868852459,-77,80,-76,-1,1.013157894736842,-80.0
542,-23,94,290,5.76595744680851,-0.07931034482758621,-79,88,-68,32,1.161764705882353,2.75
853,-62,191,360,4.465968586387435,-0.17222222222222222,-79,61,-77,-10,1.025974025974026,-6.1
857,-76,181,388,4.734806629834254,-0.1958762886597938,-86,114,-79,13,1.0886075949367089,8.76923076923077
417,35,62,211,6.725806451612903,0.16587677725118483,-60,41,-48,-3,1.25,-13.666666666666666
910,135,53,475,17.169811320754718,0.28421052631578947,-110,104,-72,-6,1.5277777777777777,-17.333333333333332
824,84,95,408,8.673684210526316,0.20588235294117646,-109,103,-83,6,1.3132530120481927,17.166666666666668
930,49,156,459,5.961538461538462,0.10675381263616558,-111,108,-91,-3,1.2197802197802199,-36.0
643,0,118,283,5.4491525423728815,0.0,-57,32,-50,-37,1.14,-0.8648648648648649
616,-94,178,309,3.460674157303371,-0.3042071197411003,-47,83,-53,14,0.8867924528301887,5.928571428571429
604,-160,231,304,2.6147186147186146,-0.5263157894736842,-57,125,-71,68,0.8028169014084507,1.838235294117647
855,-2,166,453,5.150602409638554,-0.004415011037527594,-104,123,-91,9,1.1428571428571428,13.666666666666666
840,3,147,439,5.714285714285714,0.00683371298405467,-101,112,-86,4,1.1744186046511629,28.0
420,-91,119,188,3.5294117647058822,-0.48404255319148937,-38,54,-42,4,0.9047619047619048,13.5
705,-96,117,374,6.0256410256410255,-0.25668449197860965,-81,138,-69,39,1.173913043478261,3.5384615384615383
721,-94,122,383,5.909836065573771,-0.2454308093994778,-83,144,-70,38,1.1857142857142857,3.789473684210526
597,-115,113,309,5.283185840707965,-0.37216828478964403,-62,148,-55,51,1.1272727272727272,2.9019607843137254
565,21,44,330,12.840909090909092,0.06363636363636363,-82,96,-61,9,1.3442622950819672,10.666666666666666
516,-67,115,277,4.48695652173913,-0.24187725631768953,-59,108,-56,21,1.0535714285714286,5.142857142857143
527,-66,143,289,3.6853146853146854,-0.22837370242214533,-53,110,-54,27,0.9814814814814815,4.074074074074074
677,-75,185,334,3.6594594594594594,-0.2245508982035928,-65,81,-67,6,0.9701492537313433,13.5
712,-67,191,368,3.7277486910994764,-0.18206521739130435,-71,88,-71,4,1.0,22.0
589,-52,131,297,4.4961832061068705,-0.1750841750841751,-67,60,-63,3,1.0634920634920635,20.0
383,-62,99,201,3.8686868686868685,-0.30845771144278605,-40,84,-40,26,1.0,3.230769230769231
443,-82,121,234,3.6611570247933884,-0.3504273504273504,-44,106,-44,37,1.0,2.864864864864865
518,67,57,305,9.087719298245615,0.21967213114754097,-72,57,-55,-9,1.309090909090909,-6.333333333333333
760,127,75,467,10.133333333333333,0.27194860813704497,-108,59,-78,-20,1.3846153846153846,-2.95
562,-74,128,293,4.390625,-0.2525597269624573,-65,58,-62,2,1.0483870967741935,29.0
568,-6,106,320,5.3584905660377355,-0.01875,-71,61,-62,-3,1.1451612903225807,-20.333333333333332
542,-1,90,301,6.022222222222222,-0.0033222591362126247,-71,51,-60,-7,1.1833333333333333,-7.285714285714286
662,-88,157,384,4.2165605095541405,-0.22916666666666666,-92,165,-88,58,1.0454545454545454,2.8448275862068964
672,-77,141,391,4.76595744680851,-0.1969309462915601,-85,160,-79,56,1.0759493670886076,2.857142857142857
662,-130,180,320,3.6777777777777776,-0.40625,-82,148,-84,44,0.9761904761904762,3.3636363636363638
626,-84,142,301,4.408450704225352,-0.27906976744186046,-90,128,-83,32,1.0843373493975903,4.0
600,-24,56,309,10.714285714285714,-0.07766990291262135,-77,67,-62,-5,1.2419354838709677,-13.4
604,-13,72,329,8.38888888888889,-0.03951367781155015,-80,89,-64,17,1.25,5.235294117647059
433,-57,142,196,3.0492957746478875,-0.29081632653061223,-47,84,-50,24,0.94,3.5
689,-179,170,408,4.052941176470588,-0.4387254901960784,-63,186,-67,100,0.9402985074626866,1.86
694,-132,179,386,3.877094972067039,-0.34196891191709844,-77,178,-79,98,0.9746835443037974,1.816326530612245
504,-93,130,232,3.876923076923077,-0.40086206896551724,-43,72,-46,5,0.9347826086956522,14.4
581,-101,138,292,4.2101449275362315,-0.3458904109589041,-53,85,-56,5,0.9464285714285714,17.0
396,-32,89,218,4.449438202247191,-0.14678899082568808,-49,72,-45,26,1.0888888888888888,2.769230769230769
831,-135,240,482,3.4625,-0.2800829875518672,-85,149,-88,18,0.9659090909090909,8.277777777777779
841,-132,235,494,3.578723404255319,-0.26720647773279355,-87,149,-91,14,0.9560439560439561,10.642857142857142
